Date,Open,High,Low,Close,Adj Close,Volume
2020-07-10,89.680000,90.970001,89.370003,90.809998,90.298538,4933900
2020-07-13,91.309998,94.669998,91.040001,92.769997,92.247498,7442300
2020-07-14,92.739998,94.669998,91.980003,94.650002,94.116920,5421900
2020-07-15,95.610001,98.220001,95.610001,97.160004,96.612785,5644600
2020-07-16,96.599998,96.830002,95.250000,95.750000,95.210724,4123800
2020-07-17,96.239998,98.959999,96.110001,98.580002,98.024780,5557700
2020-07-20,98.220001,98.309998,95.680000,95.730003,95.190834,4081800
2020-07-21,96.519997,98.000000,96.209999,96.809998,96.264748,3664500
2020-07-22,96.769997,97.559998,96.389999,97.489998,96.940918,3618000
2020-07-23,97.610001,97.610001,96.180000,96.570000,96.026100,3652600
2020-07-24,96.430000,96.879997,95.800003,96.349998,95.807343,4071900
2020-07-27,96.309998,97.250000,95.669998,96.430000,95.886894,3701900
2020-07-28,96.169998,97.209999,95.779999,96.349998,95.807343,4325500
2020-07-29,96.830002,99.400002,96.449997,98.720001,98.163994,7020200
2020-07-30,97.209999,97.510002,95.379997,96.470001,95.926666,3830000
2020-07-31,96.419998,96.550003,94.639999,96.480003,95.936615,5155300
2020-08-03,96.940002,97.650002,95.959999,97.330002,96.781822,3708100
2020-08-04,96.900002,97.580002,95.970001,96.290001,95.747681,4241600
2020-08-05,96.809998,97.769997,96.690002,97.019997,96.473564,3651500
2020-08-06,96.820000,97.709999,96.309998,96.730003,96.185204,5009000
2020-08-07,96.730003,100.089996,96.599998,100.050003,99.486504,4476900
2020-08-10,100.180000,100.550003,99.570000,100.379997,99.814644,5096400
2020-08-11,101.699997,102.489998,100.519997,100.720001,100.152733,4464800
2020-08-12,102.099998,102.750000,100.970001,102.089996,101.515007,3472400
2020-08-13,101.269997,101.879997,100.290001,101.290001,100.719521,3715000
2020-08-14,101.040001,102.040001,100.330002,100.709999,100.142784,2925700
2020-08-17,102.089996,103.190002,101.510002,101.860001,101.286308,3689600
2020-08-18,102.419998,102.830002,101.459999,101.559998,100.987999,4043900
2020-08-19,101.900002,102.180000,100.599998,100.820000,100.252167,3353400
2020-08-20,100.190002,100.709999,99.879997,100.279999,99.715202,3350500
2020-08-21,99.970001,100.089996,98.440002,98.730003,98.173943,6734100
2020-08-24,99.820000,101.290001,99.379997,100.129997,99.566048,5265400
